% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,40.8227,0.262656,3,155.239,0.208979,0.53378,0,82
97.561,2.43902,40.2719,0.325261,7,116.615,0.186066,0.406733,0,2
100,0,23.2412,0.100807,3,99.2174,0.0676568,0.223641,0,10
100,0,32.7693,0.114096,2,156.812,0.0979473,0.379261,0,106
100,0,42.2006,0.256605,3,142.299,0.208979,0.552661,0,84
100,0,23.938,0.066688,1,137.028,0.043979,0.201844,0,74
100,0,28.3704,0.134114,2,155.244,0.12792,0.398522,0,106
100,0,39.3769,0.62137,6,102.455,0.37081,0.605797,0,2
100,0,41.99,0.406775,4,127.449,0.276093,0.561095,0,62
100,0,40.2977,0.140558,3,117.167,0.0999912,0.386664,0,36
