% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,79.6074,12.9649,30,109.404,3.09461,3.28462,0,1
82.2917,1.04167,84.2083,24.656,55,97.7475,6.02382,5.71952,0,1
87.7778,1.11111,89.0556,18.1876,38,89.0645,4.88266,4.54624,0,1
100,0,87.4292,6.23472,15,126.218,1.7841,2.03428,0,66
100,0,51.4852,1.93669,12,121.456,0.659573,0.834915,0,60
100,0,93.8458,12.242,26,103.135,2.72605,2.93502,0,4
100,0,89.4205,15.6034,31,119.045,4.73544,5.00682,0,35
81.9149,1.06383,72.4918,12.6041,43,91.0777,3.12067,2.44409,0,3
100,0,84.9165,9.10674,21,113.527,2.74715,3.00331,0,39
100,0,92.6177,17.4461,40,104.374,5.12985,5.40218,0,9
